Sigle,Autor,Titel,Sammlung,Referenz,Jahr,Jahr_Schlawe,Jahr_Frank,Jahr_Metricalizer,Zeitraum_Frank,Zeitraum,Frank,Schlawe,Strophenformen,Metricalizer,Freiburger Anthologie,Zeno,Besonderheiten,falsche Zuordnungen
Heym - Schwarzer Tag,"""Heym, Georg""",Schwarzer Tag,,,,1904,,,1900-2000,,---,Freie Verse,,,,,,
Heym - Sommerabend,"""Heym, Georg""",Sommerabend,,,,1904,,,1900-2000,,---,Freie Verse,,,,,,
Heym - Sonnwendtag,"""Heym, Georg""",Sonnwendtag,,,,,,,1900-2000,,3.2,,,,,,,
Heym - Später Morgen,"""Heym, Georg""",Später Morgen,,,,1902,,,1900-2000,,---,Freie Verse,,,,,,
Heym - Tod eines Hirten,"""Heym, Georg""",Tod eines Hirten,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Trost,"""Heym, Georg""",Trost,,,,,,,1900-2000,,4.80,,,,,,,
Heym - Trostloser Herbst,"""Heym, Georg""",Trostloser Herbst,,,,,,,1900-2000,,4.105,,,,,,,
Heym - Ultima hora,"""Heym, Georg""",Ultima hora,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Und immer noch der alte,"""Heym, Georg""",Und immer noch der alte,,,,,,,1900-2000,,4.60,,,,,,,
Heym - Unter dem Pfluge,"""Heym, Georg""",Unter dem Pfluge,,,,1904,,,1900-2000,,---,Freie Verse,,,,,,
Heym - Vor einem Gewitter,"""Heym, Georg""",Vor einem Gewitter,,,,,,,1900-2000,,4.100,,,,,,,
Heym - Wenn dir der Abend auf die,"""Heym, Georg""",Wenn dir der Abend auf die,,,,,,,1900-2000,,6.44,,,,,,,
Heym - Westwärts,"""Heym, Georg""",Westwärts,,,,,,,1900-2000,,4.104,,,,,,,
Heym - Wie Augen schauen,"""Heym, Georg""",Wie Augen schauen,,,,,,,1900-2000,,4.110,,,,,,,
Heym - Wo eben rauschten noch die,"""Heym, Georg""",Wo eben rauschten noch die,,,,,,,1900-2000,,4.105,,,,,,,
Heym - Wolken,"""Heym, Georg""",Wolken,,,,,,,1900-2000,,4.110,,,,,,,
Heym - Wunsch,"""Heym, Georg""",Wunsch,,,,,,,1900-2000,,4.54,,,,,,,
Heym - Δήμω,"""Heym, Georg""",Δήμω,,,,,,,1900-2000,,4.98,,,,,,,
Heymel - Der Übermütige singt,"""Heymel, Alfred Walter""",Der Übermütige singt,,,,,20. Jh.,,1900-2000,,5.4,,,,,,,
Heyse - Abend auf der Heide,"""Heyse, Paul""",Abend auf der Heide,,,,,,,1830-1900,,4.49,,,,,,,
Heyse - Abschied,"""Heyse, Paul""",Abschied,,,,,,,1830-1900,,8.22,,,,,,,
Heyse - Alpenfeuer,"""Heyse, Paul""",Alpenfeuer,,,,,,,1830-1900,,4.8,,,,,,,
Heyse - Am Fluß,"""Heyse, Paul""",Am Fluß,,,,,,,1830-1900,,4.36,,,,,,,
Heyse - Am Genfer See,"""Heyse, Paul""",Am Genfer See,,,,,,,1830-1900,,4.46,,,,,,,
Heyse - Amor in der Klause,"""Heyse, Paul""",Amor in der Klause,,,,,,,1830-1900,,4.49,,,,,,,
Heyse - An Beethoven,"""Heyse, Paul""",An Beethoven,,,,,,,1830-1900,,8.45,,,,,,,
Heyse - An Grillparzer,"""Heyse, Paul""",An Grillparzer,,,,,,,1830-1900,,8.37,,,,,,,
Heyse - Brautlied,"""Heyse, Paul""",Brautlied,,,,,,,1830-1900,,4.46,,,,,,,
Heyse - Das Spinett,"""Heyse, Paul""",Das Spinett,,,,,,,1830-1900,,4.46,,,,,,,
Heyse - Dem Andenken König Maximilians II. von Bayern,"""Heyse, Paul""",Dem Andenken König Maximilians II. von Bayern,,,,,,,1830-1900,,8.47,,,,,,,
Heyse - Die Judith des Christofano,"""Heyse, Paul""",Die Judith des Christofano,,,,,,,1830-1900,,3.7,,,,,,,
Heyse - Die Tabaksmühle,"""Heyse, Paul""",Die Tabaksmühle,,,,,,,1830-1900,,4.62,,,,,,,
Heyse - Ein Wintertagebuch. Ankunft,"""Heyse, Paul""",Ein Wintertagebuch. Ankunft,,,,,,,1830-1900,,4.126,,,,,,,
Heyse - Gunnar,"""Heyse, Paul""",Gunnar,,,,,,,1830-1900,,4.59,,,,,,,
Heyse - In der Bucht,"""Heyse, Paul""",In der Bucht,,,,,,,1830-1900,,4.58,,,,,,,
Heyse - In Florenz,"""Heyse, Paul""",In Florenz,,,,,,,1830-1900,,8.37,,,,,,,
Heyse - In so und so viel Wochen,"""Heyse, Paul""",In so und so viel Wochen,,,,,,,1830-1900,,4.39,,,,,,,
Heyse - In Venedig,"""Heyse, Paul""",In Venedig,,,,,,,1830-1900,,6.44,,,,,,,
Heyse - Johannes Brahms,"""Heyse, Paul""",Johannes Brahms,,,,,,,1830-1900,,2.9,,,,,,,
Heyse - Lebensgeheimnis,"""Heyse, Paul""",Lebensgeheimnis,,,,,,,1830-1900,,4.88,,,,,,,
Heyse - Lied von Sorrent,"""Heyse, Paul""",Lied von Sorrent,,,,,,,1830-1900,,8.26,,,,,,Frank: mit (unregelmäßih) daktylischen Versen,
Heyse - Lieder aus Sorrent 10,"""Heyse, Paul""",Lieder aus Sorrent 10,,,,,,,1830-1900,,4.100,,,,,,,
Heyse - Odysseus,"""Heyse, Paul""",Odysseus,,,,,,,1830-1900,,6.20,,,,,,,
Heyse - Resignation,"""Heyse, Paul""",Resignation,,,,,,,1830-1900,,4.46,,,,,,,
Heyse - Romanzen vom Henker,"""Heyse, Paul""",Romanzen vom Henker,,,,,,,1830-1900,,4.36,,,,,,,
Heyse - Servize Domino in laetitia,"""Heyse, Paul""",Servize Domino in laetitia,,,,,,,1830-1900,,4.60,,,,,,,
Heyse - Sie schreibt,"""Heyse, Paul""",Sie schreibt,,,,,,,1830-1900,,4.54,,,,,,,
Heyse - Telegonos,"""Heyse, Paul""",Telegonos,,,,,,,1830-1900,,4.27,,,,,,,
Heyse - Tiefer Brunnen,"""Heyse, Paul""",Tiefer Brunnen,,,,,,1856,1830-1900,,4.59,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df753b,,,
Heyse - Verklärung,"""Heyse, Paul""",Verklärung,,,,,,,1830-1900,,4.67,,,,,,,
Heyse - Waldesnacht,"""Heyse, Paul""",Waldesnacht,,,,,,,1830-1900,,8.26,,,,,,,
Heyse - Wilhelm Hertz,"""Heyse, Paul""",Wilhelm Hertz,,,,,,,1830-1900,,2.9,,,,,,,
Heyse - Zueignung,"""Heyse, Paul""",Zueignung,,,,,,,1830-1900,,8.32,,,,,,,
"Hiller, F.K. - Ich lobe dich von ganzer Seelen","""Hiller, Friedrich Konrad""",Ich lobe dich von ganzer Seelen,,,,,18. Jh.,,1700-1770,,8.37,,,,,,,
"Hiller, P.F. - Jesus Christus herrscht als König","""Hiller, Philipp Friedrich""",Jesus Christus herrscht als König,,,,,18. Jh.,,1700-1770,,6.30,,,,,,,
"Hiller, P.F. - Mir ist Erbarmung widerfahren","""Hiller, Philipp Friedrich""",Mir ist Erbarmung widerfahren,,,,,,,1700-1770,,6.38,,,,,,,
"Hiller, P.F. - Wir warten dein, o Gottes Sohn","""Hiller, Philipp Friedrich""","Wir warten dein, o Gottes Sohn",,,,,18. Jh.,,1700-1770,,8.12,,,,,,,
Hiltstein - In Gottes Namen scheiden wir,"""Hiltstein, Johannis""",In Gottes Namen scheiden wir,,,,,1557,,-1600,,4.57,,,,,,,
Hiltstein - Wer lebt und glaubt in dieser Zeit,"""Hiltstein, Johannis""",Wer lebt und glaubt in dieser Zeit,,,,,,,-1600,,4.57,,,,,,,
Höck - An die Satiren,"""Höck, Theobald""",An die Satiren,Schönes Blumenfeld (1601),,,,1601,,1600-1700,,5.4,,,,,,,
Höck - Den Jungen wird die Lieb belohnt,"""Höck, Theobald""",Den Jungen wird die Lieb belohnt,,,,,17. Jh.,,1600-1700,,4.59,,,,,,,
"Höck - Der Mensch soll sich dessen nit rühmen, was nit sein ist","""Höck, Theobald""","Der Mensch soll sich dessen nit rühmen, was nit sein ist",Schönes Blumenfeld (1601),,,,1601,,1600-1700,,5.4,,,,,,,
"Höck - Der schönen Julia (Schöns Lieb, ich muß dich lassen)","""Höck, Theobald""","Der schönen Julia (Schöns Lieb, ich muß dich lassen)",,,,,um 1600,,,,2.2,,,,,,,
Höck - Ein Armer kann jetzund zu keinem Amt kommen,"""Höck, Theobald""",Ein Armer kann jetzund zu keinem Amt kommen,Schönes Blumenfeld (1601),,,,1601,,1600-1700,,5.4,,,,,,,
Höck - Einen Freund zu probieren,"""Höck, Theobald""",Einen Freund zu probieren,,,,,,,,,4.36,,,,,,,
Höck - Laß dich kein Mühe zum Guten verdrießen,"""Höck, Theobald""",Laß dich kein Mühe zum Guten verdrießen,,,,,1601,,1600-1700,,7.3,,,,,,,
Höck - Trau der Lieb nit zuviel,"""Höck, Theobald""",Trau der Lieb nit zuviel,,,,,,,,,4.36,,,,,,,
Hoddis - Der Todesengel,"""Hoddis, Jakob van""",Der Todesengel,,,,,,,,,4.103,,,,,,,
Hoddis - Varieté 1,"""Hoddis, Jakob van""",Varieté 1,,,,,,,,,4.110,,,,,,,
Hoffmann v. Fallersleben - Abendlied,"""Hoffmann von Fallersleben, August Heinrich""",Abendlied,,,,,,,1830-1900,,4.58,,,,,,,
Hoffmann v. Fallersleben - Am Rheine,"""Hoffmann von Fallersleben, August Heinrich""",Am Rheine,,,,,,,1830-1900,,8.29,,,,,,,
Hoffmann v. Fallersleben - An eine Freundin,"""Hoffmann von Fallersleben, August Heinrich""",An eine Freundin,,,,,,,1830-1900,,4.67,,,,,,,
Hoffmann v. Fallersleben - An einen Freund beim Tode,"""Hoffmann von Fallersleben, August Heinrich""",An einen Freund beim Tode,,,,,,,1830-1900,,4.108,,,,,,,
Hoffmann v. Fallersleben - Armut ohne Liebesglück,"""Hoffmann von Fallersleben, August Heinrich""",Armut ohne Liebesglück,,,,,,,1830-1900,,4.57,,,,,,,
Hoffmann v. Fallersleben - Bescheidenheit siegt,"""Hoffmann von Fallersleben, August Heinrich""",Bescheidenheit siegt,,,,,,,1830-1900,,4.34,,,,,,,
Hoffmann v. Fallersleben - Burschenlied,"""Hoffmann von Fallersleben, August Heinrich""",Burschenlied,,,,,19. Jh.,,1830-1900,,14.0,,,,,,,
Hoffmann v. Fallersleben - Dann ist er da,"""Hoffmann von Fallersleben, August Heinrich""",Dann ist er da,,,,,,,1830-1900,,8.19,,,,,,,
"Hoffmann v. Fallersleben - Das Lied der Deutschen (Deutschland, Deutschland über alles)","""Hoffmann von Fallersleben, August Heinrich""","Das Lied der Deutschen (Deutschland, Deutschland über alles)",,,1841/42,,,,1830-1900,,8.26,,,,,http://www.zeno.org/nid/20005079640,,
Hoffmann v. Fallersleben - Das Tanzen ist nicht jedermanns,"""Hoffmann von Fallersleben, August Heinrich""",Das Tanzen ist nicht jedermanns,,,,,,,1830-1900,,6.19,,,,,,,
Hoffmann v. Fallersleben - Das treue Roß,"""Hoffmann von Fallersleben, August Heinrich""",Das treue Roß,,,,,,,1830-1900,,5.2,,,,,,,
Hoffmann v. Fallersleben - Der alte Landsknecht in,"""Hoffmann von Fallersleben, August Heinrich""",Der alte Landsknecht in,,,,,,,1830-1900,,5.2,,,,,,,
Hoffmann v. Fallersleben - Der Beichtzettel,"""Hoffmann von Fallersleben, August Heinrich""",Der Beichtzettel,,,,,,,1830-1900,,4.39,,,,,,,
Hoffmann v. Fallersleben - Der Blümlein Antwort,"""Hoffmann von Fallersleben, August Heinrich""",Der Blümlein Antwort,,,,,,,1830-1900,,4.25,,,,,,,
Hoffmann v. Fallersleben - Der frühe Tod nach langem,"""Hoffmann von Fallersleben, August Heinrich""",Der frühe Tod nach langem,,,,,,,1830-1900,,4.18,,,,,,,
Hoffmann v. Fallersleben - Der Frühling ist da,"""Hoffmann von Fallersleben, August Heinrich""",Der Frühling ist da,,,,,,,1830-1900,,4.34,,,,,,,
Hoffmann v. Fallersleben - Der kleine Seemann,"""Hoffmann von Fallersleben, August Heinrich""",Der kleine Seemann,,,,,,,1830-1900,,5.2,,,,,,,
Hoffmann v. Fallersleben - Der kleine Vogelfänger,"""Hoffmann von Fallersleben, August Heinrich""",Der kleine Vogelfänger,,,,,,,1830-1900,,4.36,,,,,,,
Hoffmann v. Fallersleben - Der Kuckuck und der Esel,"""Hoffmann von Fallersleben, August Heinrich""",Der Kuckuck und der Esel,,,,,,,1830-1900,,4.20,,,,,,,
Hoffmann v. Fallersleben - Des Landsknechts Kirmeßlied,"""Hoffmann von Fallersleben, August Heinrich""",Des Landsknechts Kirmeßlied,,,,,,,1830-1900,,4.1,,,,,,,
Hoffmann v. Fallersleben - Die Treulose,"""Hoffmann von Fallersleben, August Heinrich""",Die Treulose,,,,,,,1830-1900,,4.49,,,,,,,
Hoffmann v. Fallersleben - Frühling und Liebe,"""Hoffmann von Fallersleben, August Heinrich""",Frühling und Liebe,,,,,,,1830-1900,,6.33,,,,,,,
Hoffmann v. Fallersleben - Frühlings-Mahnung,"""Hoffmann von Fallersleben, August Heinrich""",Frühlings-Mahnung,,,,,,,1830-1900,,7.5,,,,,,,
Hoffmann v. Fallersleben - Frühlingswonne,"""Hoffmann von Fallersleben, August Heinrich""",Frühlingswonne,,,,,,,1830-1900,,6.22,,,,,,,
"Hoffmann v. Fallersleben - Hab Dank, du lieber Wind","""Hoffmann von Fallersleben, August Heinrich""","Hab Dank, du lieber Wind",,,,,,,1830-1900,,5.2,,,,,,,
Hoffmann v. Fallersleben - Heimkehr aus Frankreich,"""Hoffmann von Fallersleben, August Heinrich""",Heimkehr aus Frankreich,,,,,,,1830-1900,,6.27,,,,,,,
Hoffmann v. Fallersleben - Heimweh in Frankreich 1839,"""Hoffmann von Fallersleben, August Heinrich""",Heimweh in Frankreich 1839,,,,,,,1830-1900,,4.106,,,,,,,
Hoffmann v. Fallersleben - Herbstlied,"""Hoffmann von Fallersleben, August Heinrich""",Herbstlied,,,,,,,1830-1900,,4.38,,,,,,,
Hoffmann v. Fallersleben - Lied der Deutschen,"""Hoffmann von Fallersleben, August Heinrich""",Lied der Deutschen,,,,,,,1830-1900,,8.26,,,,,,,
Hoffmann v. Fallersleben - Mägdleins Klage,"""Hoffmann von Fallersleben, August Heinrich""",Mägdleins Klage,,,,,,,1830-1900,,4.46,,,,,,,
Hoffmann v. Fallersleben - Mein Hans und mein Peter,"""Hoffmann von Fallersleben, August Heinrich""",Mein Hans und mein Peter,,,,,,,1830-1900,,2.6,,,,,,,
Hoffmann v. Fallersleben - Mein Lämmchen,"""Hoffmann von Fallersleben, August Heinrich""",Mein Lämmchen,,,,,,,1830-1900,,4.36,,,,,,,
Hoffmann v. Fallersleben - Pater Guardian,"""Hoffmann von Fallersleben, August Heinrich""",Pater Guardian,,,,,,,1830-1900,,4.58,,,,,,,
Hoffmann v. Fallersleben - Schlacht von Pavia,"""Hoffmann von Fallersleben, August Heinrich""",Schlacht von Pavia,,,,,,1830,1830-1900,,5.12,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df7461,,,
Hoffmann v. Fallersleben - Schlachtgesang,"""Hoffmann von Fallersleben, August Heinrich""",Schlachtgesang,,,,,,,1830-1900,,4.36,,,,,,,
Hoffmann v. Fallersleben - Schwabenkrieg,"""Hoffmann von Fallersleben, August Heinrich""",Schwabenkrieg,,,,,,,1830-1900,,5.4,,,,,,,
Hoffmann v. Fallersleben - Soldatenlied,"""Hoffmann von Fallersleben, August Heinrich""",Soldatenlied,,,,,,,1830-1900,,4.5,,,,,,,
Hoffmann v. Fallersleben - Treue Liebe,"""Hoffmann von Fallersleben, August Heinrich""",Treue Liebe,,,,,,,1830-1900,,4.51,,,,,,,
Hoffmann v. Fallersleben - Trink-Lied,"""Hoffmann von Fallersleben, August Heinrich""",Trink-Lied,,,,,,,1830-1900,,5.3,,,,,,,
Hoffmann v. Fallersleben - Veilchen,"""Hoffmann von Fallersleben, August Heinrich""",Veilchen,,,,,,,1830-1900,,6.3,,,,,,,
Hoffmann v. Fallersleben - Von den vier Temperamentis,"""Hoffmann von Fallersleben, August Heinrich""",Von den vier Temperamentis,,,,,,,1830-1900,,8.30,,,,,,,
Hoffmann v. Fallersleben - Wanderlied,"""Hoffmann von Fallersleben, August Heinrich""",Wanderlied,,,,,,,1830-1900,,5.8,,,,,,,
Hoffmann v. Fallersleben - Weinlied,"""Hoffmann von Fallersleben, August Heinrich""",Weinlied,,,,,,,1830-1900,,4.67,,,,,,,
Hoffmann v. Fallersleben - Wer hat die schönsten,"""Hoffmann von Fallersleben, August Heinrich""",Wer hat die schönsten,,,,,,,1830-1900,,4.20,,,,,,,
Hoffmann v. Fallersleben - Wiegenlied,"""Hoffmann von Fallersleben, August Heinrich""",Wiegenlied,,,,,,,1830-1900,,4.42,,,,,,,
Höfling - O alte Burschenherrlichkeit,"""Höfling, Eugen""",O alte Burschenherrlichkeit,,,,,,,1830-1900,,8.17,,,,,,,
Hofmannsthal - An Josephine von Wertheim,"""Hofmannsthal, Hugo von""",An Josephine von Wertheim,,,,,,,,Moderne / um 1900,4.93,,,,,,,
Hofmannsthal - Ballade des äußeren Lebens,"""Hofmannsthal, Hugo von""",Ballade des äußeren Lebens,,,,,,1894,,Moderne / um 1900,3.7,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b176758952e88df7124,,,
Hofmannsthal - Das Wort,"""Hofmannsthal, Hugo von""",Das Wort,,,,,,,,Moderne / um 1900,4.3,,,,,,,
Hofmannsthal - Der Beherrschte,"""Hofmannsthal, Hugo von""",Der Beherrschte,,,,,,,,Moderne / um 1900,4.103,,,,,,,
Hofmannsthal - Der Schatten eines Toten,"""Hofmannsthal, Hugo von""",Der Schatten eines Toten,,,,,,,,Moderne / um 1900,4.100,,,,,,,
"Hofmannsthal - Der Schiffskoch, ein Gefangener, singt","""Hofmannsthal, Hugo von""","Der Schiffskoch, ein Gefangener, singt",,,,,,1901,,Moderne / um 1900,4.54,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b176758952e88df714d,,,
Hofmannsthal - Ein Knabe 1,"""Hofmannsthal, Hugo von""",Ein Knabe 1,,,,,,,,Moderne / um 1900,4.103,,,,,,,
Hofmannsthal - Ein Traum von großer Magie,"""Hofmannsthal, Hugo von""",Ein Traum von großer Magie,,,,,,,,Moderne / um 1900,"3.7,3.7m",,,,,,,
Hofmannsthal - Erlebnis,"""Hofmannsthal, Hugo von""",Erlebnis,,,,,,1892,,Moderne / um 1900,---,,,264,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b176758952e88df7125,,,
Hofmannsthal - Gute Stunde,"""Hofmannsthal, Hugo von""",Gute Stunde,,,,,,,,Moderne / um 1900,2.6,,,,,,,
Hofmannsthal - Ich ging hernieder,"""Hofmannsthal, Hugo von""",Ich ging hernieder,,,,,,,,Moderne / um 1900,4.108,,,,,,,
Hofmannsthal - Kindergebet,"""Hofmannsthal, Hugo von""",Kindergebet,,,,,,,,Moderne / um 1900,4.42,,,,,,,
Hofmannsthal - Leben,"""Hofmannsthal, Hugo von""",Leben,,,1892,,,,1830-1900,Moderne / um 1900,8.48,,,,,http://www.zeno.org/nid/20005087228,,
Hofmannsthal - Melusine,"""Hofmannsthal, Hugo von""",Melusine,,,,,,,1830-1900,Moderne / um 1900,4.5,,,,,,,
Hofmannsthal - Siehst du die Stadt,"""Hofmannsthal, Hugo von""",Siehst du die Stadt,,,,,,,,Moderne / um 1900,4.100,,,,,,,
Hofmannsthal - Stille,"""Hofmannsthal, Hugo von""",Stille,,,,,,,,Moderne / um 1900,4.54,,,,,,,
Hofmannsthal - Terzinen über Vergänglichkeit,"""Hofmannsthal, Hugo von""",Terzinen über Vergänglichkeit,,,,,,,,Moderne / um 1900,3.7,,,,,,,
Hofmannsthal - Vom Schiff aus,"""Hofmannsthal, Hugo von""",Vom Schiff aus,,,,,,,,Moderne / um 1900,4.100,,,,,,,
Hofmannsthal - Vorfrühling,"""Hofmannsthal, Hugo von""",Vorfrühling,,,,,,1892,,Moderne / um 1900,---,,,48,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b176758952e88df70ff,,letzten Strophen anders gereimt,
Hofmannsthal - Weltgeheimnis,"""Hofmannsthal, Hugo von""",Weltgeheimnis,,,,,,,,Moderne / um 1900,"3.0,3.4,3.4kaa",,,,,,,
Hofmannswaldau - Ach daß ich euch nicht meiden müßte,"""Hofmannswaldau, Christian Hofmann von""",Ach daß ich euch nicht meiden müßte,Neukirchs Anthologie,,,,1647,,1600-1700,,8.35,,,,,,,
"Hofmannswaldau - Ach, was wollt ihr trüben Sinnen","""Hofmannswaldau, Christian Hofmann von""","Ach, was wollt ihr trüben Sinnen",,,,,,,1600-1700,,6.12,,,,,,,
Hofmannswaldau - Als Flavia wieder gesund worden (Ist dies Flavia? Ihr Augen irret ihr?),"""Hofmannswaldau, Christian Hofmann von""",Als Flavia wieder gesund worden (Ist dies Flavia? Ihr Augen irret ihr?),,,,,,,1600-1700,,4.115,,,,,,,
Hofmannswaldau - Auf den Mund,"""Hofmannswaldau, Christian Hofmann von""",Auf den Mund,,,,,,,1600-1700,,4.113,,,,,,,
"Hofmannswaldau - Chlorinde, kannst du lustig stehen","""Hofmannswaldau, Christian Hofmann von""","Chlorinde, kannst du lustig stehen",Neukirchs Anthologie,,,,,,1600-1700,,8.37,,,,,,,
Hofmannswaldau - Der schwarze Flügel trüber,"""Hofmannswaldau, Christian Hofmann von""",Der schwarze Flügel trüber,,,,,,,1600-1700,,4.36,,,,,,,
Hofmannswaldau - Flavie schaut meine Tränen,"""Hofmannswaldau, Christian Hofmann von""",Flavie schaut meine Tränen,Neukirchs Anthologie,,,,,,1600-1700,,6.27,,,,,,,
Hofmannswaldau - Flora deine Rosenwangen,"""Hofmannswaldau, Christian Hofmann von""",Flora deine Rosenwangen,Neukirchs Anthologie,,,,,,1600-1700,,6.29,,,,,,,
"Hofmannswaldau - Herr, der du den Kreis der Erden","""Hofmannswaldau, Christian Hofmann von""","Herr, der du den Kreis der Erden",,,,,,,1600-1700,,8.28,,,,,,,
Hofmannswaldau - Ihr bleichen Buhler schwarzer Zeit,"""Hofmannswaldau, Christian Hofmann von""",Ihr bleichen Buhler schwarzer Zeit,"Verliebte Arien,Neukirchs Anthologie",,,,,,1600-1700,,8.12,,,,,,,
Hofmannswaldau - Laurette bleibst du ewig Stein,"""Hofmannswaldau, Christian Hofmann von""",Laurette bleibst du ewig Stein,Neukirchs Anthologie,,,,,,1600-1700,,6.34,,,,,,,
Hofmannswaldau - Niemand weiß wie schwer mirs fällt,"""Hofmannswaldau, Christian Hofmann von""",Niemand weiß wie schwer mirs fällt,"Verliebte Arien,Neukirchs Anthologie",,,,,,1600-1700,,8.23,,,,,,,
"Hofmannswaldau - O Göttin, der ich voller Pflicht","""Hofmannswaldau, Christian Hofmann von""","O Göttin, der ich voller Pflicht",Neukirchs Anthologie,,,,,,1600-1700,,6.34,,,,,,,
Hofmannswaldau - So soll der Purpur deiner Lippen,"""Hofmannswaldau, Christian Hofmann von""",So soll der Purpur deiner Lippen,Neukirchs Anthologie,,,,,,1600-1700,,6.39,,,,,,,
Hofmannswaldau - Soll der Degen an den Nagel,"""Hofmannswaldau, Christian Hofmann von""",Soll der Degen an den Nagel,,,,,,,1600-1700,,8.26,,,,,,,
Hofmannswaldau - Soll Solimene meine Glut,"""Hofmannswaldau, Christian Hofmann von""",Soll Solimene meine Glut,Neukirchs Anthologie,,,,,,1600-1700,,6.34,,,,,,,
"Hofmannswaldau - Vergnügung sein selbst, die man bei der Verachtung schöpfen kann","""Hofmannswaldau, Christian Hofmann von""","Vergnügung sein selbst, die man bei der Verachtung schöpfen kann",,,,,,,1600-1700,,8.37,,,,,,,
Hofmannswaldau - Verzweiflungsgedicht (Die Augen schloß ich traurig zu),"""Hofmannswaldau, Christian Hofmann von""",Verzweiflungsgedicht (Die Augen schloß ich traurig zu),,,,,,,1600-1700,,10.8,,,,,,,
Hofmannswaldau - Was denkt aus mir der Himmel doch zu machen?,"""Hofmannswaldau, Christian Hofmann von""",Was denkt aus mir der Himmel doch zu machen?,Neukirchs Anthologie,,,,,,1600-1700,,6.45,,,,,,,
Hofmannswaldau - Was ist der Tod,"""Hofmannswaldau, Christian Hofmann von""",Was ist der Tod,,,,1647,,,1600-1700,,---,17.1,,,,,,
"Hohberg - Dort, wo die hohen Berg","""Hohberg, Wolfgang Helmhard von""","Dort, wo die hohen Berg",,,,,17. Jh.,,1600-1700,,4.120,,,,,,,
Hölderlin - Abendphantasie,"""Hölderlin, Friedrich""",Abendphantasie,,,,,,,1770-1830,,4.80,,,,,,,
Hölderlin - An die Deutschen,"""Hölderlin, Friedrich""",An die Deutschen,,,,,,,1770-1830,,4.111,,,,,,,
Hölderlin - An die Hoffnung,"""Hölderlin, Friedrich""",An die Hoffnung,,,,,,1801,1770-1830,,4.80,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df74b0,,,
Hölderlin - An die Natur,"""Hölderlin, Friedrich""",An die Natur,,,,,,,1770-1830,,8.41,,,,,,,
Hölderlin - An die Parzen,"""Hölderlin, Friedrich""",An die Parzen,,,,,,1798,1770-1830,,4.80,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df749d,,,
Hölderlin - An die Stille,"""Hölderlin, Friedrich""",An die Stille,,,,,,,1770-1830,,8.41,,,,,,,
Hölderlin - An die Unerkannte,"""Hölderlin, Friedrich""",An die Unerkannte,,,,,,,1770-1830,,6.41,,,,,,,
Hölderlin - An Landauer,"""Hölderlin, Friedrich""",An Landauer,,,,,,,1770-1830,,4.87,,,,,,,
Hölderlin - An Lyda,"""Hölderlin, Friedrich""",An Lyda,,,,,,,1770-1830,,8.41,,,,,,,
Hölderlin - An meine Freundinnen,"""Hölderlin, Friedrich""",An meine Freundinnen,,,,,1786/87,,1770-1830,,4.111,,,,,,,
Hölderlin - An meinen B.,"""Hölderlin, Friedrich""",An meinen B.,,,,,,,1770-1830,,4.111,,,,,,,
Hölderlin - Aussicht (Wenn Menschen fröhlich sind),"""Hölderlin, Friedrich""",Aussicht (Wenn Menschen fröhlich sind),,,,,1829,,1770-1830,,4.121,,,,,,,
Hölderlin - Brot und Wein,"""Hölderlin, Friedrich""",Brot und Wein,,,,,,1800,1770-1830,,2.11,,,,https://metricalizer.de/de/corpus/7/overview/inspect/55dc4b196758952e88df74af,,,
Hölderlin - Burg Tübingen,"""Hölderlin, Friedrich""",Burg Tübingen,,,,,,,1770-1830,,8.41,,,,,,,
Hölderlin - Das Ahnenbild,"""Hölderlin, Friedrich""",Das Ahnenbild,,,,,,,1770-1830,,4.111,,,,,,,
Hölderlin - Das Schicksal,"""Hölderlin, Friedrich""",Das Schicksal,Neue Thalia 1794,,,,1794,,1770-1830,,8.37,,,,,,,
Hölderlin - Der Gott der Jugend,"""Hölderlin, Friedrich""",Der Gott der Jugend,,,,,,,1770-1830,,8.7,,,,,,,
Hölderlin - Der Jüngling an die klugen Ratgeber,"""Hölderlin, Friedrich""",Der Jüngling an die klugen Ratgeber,,,,,,,1770-1830,,8.46,,,,,,,
Hölderlin - Der Kirchhof,"""Hölderlin, Friedrich""",Der Kirchhof,,,,,,,1770-1830,,4.105,,,,,,,
Hölderlin - Der Neckar,"""Hölderlin, Friedrich""",Der Neckar,,,,,,,1770-1830,,4.80,,,,,,,
Hölderlin - Der Ruhm,"""Hölderlin, Friedrich""",Der Ruhm,,,,,,,1770-1830,,4.105,,,,,,,
Hölderlin - Dichtermut,"""Hölderlin, Friedrich""",Dichtermut,,,,,1800,,1770-1830,,4.111,,,,,,,
